epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4143,0.18751,0.84711,0.94323,0.99988,1,0.995,0.99493,0.19829,0.39394,0.36687,0.000551291,0.000551291,0.000551291
2,56.5741,0.14069,0.27042,0.89986,0.99309,1,0.995,0.99337,0.23099,0.46378,0.39488,0.000997369,0.000997369,0.000997369
3,72.0211,0.1303,0.20459,0.89603,0.9902,0.99794,0.99359,0.97948,0.30791,0.40888,0.44344,0.00133342,0.00133342,0.00133342
4,87.4663,0.11356,0.15891,0.89047,0.99988,1,0.995,0.995,0.26394,0.47502,0.41256,0.0011719,0.0011719,0.0011719
5,103.45,0.10119,0.12777,0.8831,0.9999,1,0.995,0.995,0.22449,0.39747,0.39636,0.00100687,0.00100687,0.00100687
6,119.107,0.08733,0.10797,0.87745,0.9999,1,0.995,0.995,0.1938,0.3826,0.38777,0.000841835,0.000841835,0.000841835
7,134.697,0.06902,0.08868,0.88039,0.9999,1,0.995,0.995,0.19644,0.42751,0.38229,0.000676802,0.000676802,0.000676802
8,151.036,0.05625,0.07547,0.87401,0.9999,1,0.995,0.995,0.18855,0.36907,0.3913,0.000511769,0.000511769,0.000511769
9,167.939,0.0485,0.0662,0.88074,0.9999,1,0.995,0.995,0.21003,0.4166,0.40149,0.000346736,0.000346736,0.000346736
10,183.732,0.03941,0.05551,0.87847,0.9999,1,0.995,0.995,0.1844,0.35868,0.3893,0.000181703,0.000181703,0.000181703
